"date","open","high","close","volume"
2012-02-27,303.599000,306.486000,304.960000,3624100.000000
2012-02-28,305.305000,310.195000,309.505000,5689500.000000
2012-02-29,309.610000,313.113000,309.434000,6267500.000000
2012-03-01,311.441000,313.163000,311.512000,4470900.000000
2012-03-02,311.311000,312.312000,310.936000,3143400.000000
2012-03-05,310.526000,311.557000,307.432000,3183400.000000
2012-03-06,304.329000,304.710000,302.783000,6342400.000000
2012-03-07,304.830000,305.901000,303.704000,2526400.000000
2012-03-08,305.325000,306.056000,303.874000,2688300.000000
2012-03-09,304.279000,306.256000,300.425000,5335800.000000
2012-03-12,300.300000,303.804000,302.878000,3334600.000000
2012-03-13,304.680000,309.234000,309.199000,4487100.000000
2012-03-14,307.808000,311.702000,308.303000,5867900.000000
2012-03-15,308.609000,312.062000,310.876000,4865300.000000
2012-03-16,310.756000,313.268000,312.833000,6094800.000000
2012-03-19,311.872000,318.954000,317.307000,4341200.000000
2012-03-20,315.776000,318.348000,317.062000,3077900.000000
2012-03-21,317.623000,324.019000,320.310000,4934200.000000
2012-03-22,319.570000,324.725000,323.348000,4815500.000000
2012-03-23,323.624000,324.575000,321.617000,3876500.000000
2012-03-26,322.823000,325.070000,324.990000,3634700.000000
2012-03-27,323.839000,327.077000,323.834000,4010300.000000
2012-03-28,326.341000,329.625000,328.208000,5072700.000000
2012-03-29,327.047000,328.624000,324.530000,3844700.000000
2012-03-30,326.201000,327.072000,320.941000,4616700.000000
2012-04-02,320.706000,324.074000,323.784000,4563800.000000
2012-04-03,323.028000,324.299000,321.632000,4085700.000000
2012-04-04,319.545000,319.820000,317.893000,3251900.000000
2012-04-05,316.436000,318.534000,316.476000,4632700.000000
2012-04-09,314.555000,317.983000,315.736000,4361000.000000
2012-04-10,317.077000,317.568000,313.744000,4959000.000000
2012-04-11,317.302000,318.318000,318.298000,4393600.000000
2012-04-12,321.496000,326.897000,325.831000,11501600.000000
2012-04-13,324.099000,324.820000,312.613000,16302200.000000
2012-04-16,311.812000,312.217000,303.338000,11372800.000000
2012-04-17,304.585000,309.154000,305.090000,6041700.000000
2012-04-18,304.329000,306.707000,304.029000,5333600.000000
2012-04-19,303.148000,308.438000,299.950000,6582600.000000
2012-04-20,302.427000,304.730000,298.328000,6110600.000000
2012-04-23,296.747000,299.525000,299.099000,4391200.000000
2012-04-24,299.419000,303.619000,300.936000,3854300.000000
2012-04-25,302.302000,305.981000,305.165000,3638500.000000
2012-04-26,305.761000,309.309000,308.043000,4180800.000000
2012-04-27,307.818000,308.679000,307.798000,3269500.000000
2012-04-30,306.802000,308.348000,302.728000,4809700.000000
2012-05-01,302.197000,306.106000,302.518000,4000500.000000
2012-05-02,300.901000,304.359000,303.934000,3219700.000000
2012-05-03,305.115000,307.723000,305.816000,3732200.000000
2012-05-04,303.263000,304.249000,298.784000,4410300.000000
2012-05-07,297.798000,305.591000,304.079000,3985000.000000
2012-05-08,303.068000,308.759000,306.702000,5349200.000000
2012-05-09,303.714000,308.499000,304.880000,4652900.000000
2012-05-10,306.787000,308.403000,307.137000,3068700.000000
2012-05-11,305.480000,307.583000,302.918000,4194600.000000
2012-05-14,300.691000,304.555000,302.302000,3645100.000000
2012-05-15,302.978000,307.808000,305.861000,4199900.000000
2012-05-16,309.289000,315.365000,314.780000,9660500.000000
2012-05-17,317.232000,319.244000,311.837000,6700800.000000
2012-05-18,312.863000,316.527000,300.500000,11935000.000000
2012-05-21,300.556000,308.153000,307.362000,6144600.000000
2012-05-22,307.027000,307.212000,300.701000,6097600.000000
2012-05-23,301.126000,305.105000,305.035000,6349800.000000
2012-05-24,304.885000,306.266000,302.132000,3778800.000000
2012-05-25,300.801000,301.166000,296.061000,7156600.000000
2012-05-29,298.203000,299.865000,297.467000,5206100.000000
2012-05-30,294.374000,296.246000,294.409000,3809500.000000
2012-05-31,294.655000,295.295000,290.721000,5930600.000000
2012-06-01,286.181000,286.612000,285.776000,6109600.000000
2012-06-04,285.395000,290.536000,289.585000,4860500.000000
2012-06-05,288.013000,289.354000,285.490000,4675100.000000
2012-06-06,288.529000,291.276000,290.576000,4187400.000000
2012-06-07,294.094000,294.239000,289.404000,3513400.000000
2012-06-08,288.213000,290.791000,290.516000,2817900.000000
2012-06-11,292.397000,292.953000,284.535000,5316800.000000
2012-06-12,285.170000,285.435000,282.833000,6441900.000000
2012-06-13,281.141000,283.784000,280.826000,3904400.000000
2012-06-14,280.931000,282.818000,279.805000,4685100.000000
2012-06-15,280.450000,282.543000,282.538000,5996300.000000
2012-06-18,281.592000,287.392000,285.711000,4988800.000000
